Model,Repeat,Fold,Run,classifier__learning_rate,classifier__max_depth,classifier__n_estimators,classifier__num_leaves,depth,iterations,learning_rate,classifier__min_samples_split,classifier__C,classifier__solver,classifier__gamma,classifier__kernel
XGBoost,1,1,1,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,2,2,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,3,3,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,4,4,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,5,5,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,6,6,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,7,7,0.1,3.0,200.0,,,,,,,,,
XGBoost,1,8,8,0.1,3.0,100.0,,,,,,,,,
XGBoost,1,9,9,0.1,3.0,200.0,,,,,,,,,
XGBoost,1,10,10,0.1,5.0,100.0,,,,,,,,,
XGBoost,2,1,11,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,2,12,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,3,13,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,4,14,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,5,15,0.1,3.0,200.0,,,,,,,,,
XGBoost,2,6,16,0.1,3.0,200.0,,,,,,,,,
XGBoost,2,7,17,0.1,5.0,100.0,,,,,,,,,
XGBoost,2,8,18,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,9,19,0.1,3.0,100.0,,,,,,,,,
XGBoost,2,10,20,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,1,21,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,2,22,0.1,3.0,200.0,,,,,,,,,
XGBoost,3,3,23,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,4,24,0.1,3.0,200.0,,,,,,,,,
XGBoost,3,5,25,0.1,3.0,200.0,,,,,,,,,
XGBoost,3,6,26,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,7,27,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,8,28,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,9,29,0.1,3.0,100.0,,,,,,,,,
XGBoost,3,10,30,0.1,3.0,100.0,,,,,,,,,
LightGBM,1,1,1,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,2,2,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,3,3,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,4,4,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,5,5,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,6,6,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,7,7,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,8,8,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,9,9,0.1,,100.0,20.0,,,,,,,,
LightGBM,1,10,10,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,1,11,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,2,12,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,3,13,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,4,14,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,5,15,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,6,16,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,7,17,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,8,18,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,9,19,0.1,,100.0,20.0,,,,,,,,
LightGBM,2,10,20,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,1,21,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,2,22,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,3,23,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,4,24,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,5,25,0.1,,100.0,31.0,,,,,,,,
LightGBM,3,6,26,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,7,27,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,8,28,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,9,29,0.1,,100.0,20.0,,,,,,,,
LightGBM,3,10,30,0.1,,100.0,20.0,,,,,,,,
CatBoost,1,1,1,,,,,4.0,400.0,0.05,,,,,
CatBoost,1,2,2,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,3,3,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,4,4,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,5,5,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,6,6,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,7,7,,,,,6.0,200.0,0.05,,,,,
CatBoost,1,8,8,,,,,4.0,200.0,0.05,,,,,
CatBoost,1,9,9,,,,,6.0,200.0,0.05,,,,,
CatBoost,1,10,10,,,,,4.0,400.0,0.05,,,,,
CatBoost,2,1,11,,,,,4.0,200.0,0.05,,,,,
CatBoost,2,2,12,,,,,4.0,200.0,0.05,,,,,
CatBoost,2,3,13,,,,,4.0,200.0,0.05,,,,,
CatBoost,2,4,14,,,,,4.0,200.0,0.05,,,,,
CatBoost,2,5,15,,,,,6.0,200.0,0.05,,,,,
CatBoost,2,6,16,,,,,4.0,400.0,0.05,,,,,
CatBoost,2,7,17,,,,,6.0,200.0,0.05,,,,,
CatBoost,2,8,18,,,,,6.0,200.0,0.05,,,,,
CatBoost,2,9,19,,,,,6.0,200.0,0.05,,,,,
CatBoost,2,10,20,,,,,6.0,200.0,0.05,,,,,
CatBoost,3,1,21,,,,,6.0,200.0,0.05,,,,,
CatBoost,3,2,22,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,3,23,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,4,24,,,,,4.0,200.0,0.05,,,,,
CatBoost,3,5,25,,,,,4.0,400.0,0.05,,,,,
